mir	disease	causality
hsa-mir-15a	Leukemia	1
hsa-mir-15a	Leukemia, Lymphocytic, Chronic, B-Cell	1
hsa-mir-155	Kidney Diseases	1
hsa-mir-19b-1	Carcinoma, Hepatocellular	1
hsa-mir-491	Breast Neoplasms	1
hsa-mir-143	Inflammation	1
hsa-mir-193b	Inflammation	1
hsa-mir-16-1	Leukemia, B-Cell	1
hsa-mir-494	Uterine Cervical Neoplasms	1
hsa-mir-20a	Leukemia, Myeloid, Acute	1
hsa-mir-1-1	Myotonic Dystrophy	1
hsa-mir-135b	Medulloblastoma	1
hsa-mir-29a	Muscular Dystrophy, Duchenne	1
hsa-mir-200a	Breast Neoplasms	1
hsa-mir-494	Breast Neoplasms	1
hsa-mir-494	Pancreatic Neoplasms	1
hsa-mir-100	Prostatic Neoplasms	1
hsa-mir-155	Melanoma	1
hsa-mir-155	Lymphoma, B-Cell	1
hsa-mir-155	Tuberculosis	1
hsa-mir-330	Pancreatic Neoplasms	1
hsa-mir-18b	Leukemia, Promyelocytic, Acute	1
hsa-mir-29a	Atherosclerosis	1
hsa-mir-448	Ovarian Neoplasms	1
hsa-let-7g	Colonic Neoplasms	1
hsa-let-7g	Lung Neoplasms	1
hsa-let-7a-1	Neoplasms	1
hsa-mir-124-2	Neuroblastoma	1
hsa-mir-302a	Colorectal Neoplasms	1
hsa-mir-18a	Prostatic Neoplasms	1
hsa-mir-21	Aneurysm	1
hsa-mir-20a	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	1
hsa-mir-675	Breast Neoplasms	1
hsa-mir-326	Stomach Neoplasms	1
hsa-mir-203	Osteosarcoma	1
hsa-mir-133b	Ovarian Neoplasms	1
hsa-mir-205	Neoplasms	1
hsa-mir-128	Stomach Neoplasms	1
hsa-mir-126	Myocardial Infarction	1
hsa-mir-346	Uterine Cervical Neoplasms	1
hsa-mir-224	Brain Ischemia	1
hsa-mir-154	Glioblastoma	1
hsa-mir-155	Acute Lung Injury	1
hsa-mir-21	Asthma	1
hsa-mir-150	Uterine Cervical Neoplasms	1
hsa-mir-29a	Breast Neoplasms	1
hsa-mir-17	Neoplasms	1
hsa-mir-183	Choriocarcinoma	1
hsa-mir-30e	Carcinoma, Hepatocellular	1
hsa-mir-92a-2	Neoplasms	1
hsa-mir-125b	Leukemia	1
hsa-mir-1-1	Urinary Bladder Neoplasms	1
hsa-mir-200a	Diabetes Mellitus	1
hsa-mir-28	Colorectal Neoplasms	1
hsa-mir-203	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-204	Diabetes Mellitus	1
hsa-mir-30a	Nasopharyngeal Neoplasms	1
hsa-mir-34a	Influenza, Human	1
hsa-mir-21	Uterine Cervical Neoplasms	1
hsa-mir-192	Osteosarcoma	1
hsa-mir-183	Glioma	1
hsa-mir-138	Glioblastoma	1
hsa-mir-491	Osteosarcoma	1
hsa-mir-126	Arthritis, Rheumatoid	1
hsa-mir-105	Glioma	1
hsa-mir-155	Idiopathic Pulmonary Fibrosis	1
hsa-mir-125b	Stomach Neoplasms	1
hsa-mir-181a	Acute Lung Injury	1
hsa-mir-222	Ovarian Neoplasms	1
hsa-mir-639	Thyroid Neoplasms	1
hsa-mir-27a	Stomach Neoplasms	1
hsa-mir-362	Uterine Cervical Neoplasms	1
hsa-mir-148a	Carcinoma, Renal Cell	1
hsa-let-7	Carcinoma, Hepatocellular	1
hsa-mir-10b	Neoplasms	1
hsa-mir-124	Inflammatory Bowel Diseases	1
hsa-mir-520e	Stomach Neoplasms	1
hsa-let-7a-1	Hypertrophy	1
hsa-mir-381	Breast Neoplasms	1
hsa-mir-10b	Spondylitis, Ankylosing	1
hsa-mir-424	Colonic Neoplasms	1
hsa-let-7b	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	1
hsa-mir-34c	Neoplasms	1
hsa-mir-34a	Carcinoma, Hepatocellular	1
hsa-mir-155	Ovarian Neoplasms	1
hsa-mir-212	Uterine Cervical Neoplasms	1
hsa-let-7a	Diabetes Mellitus, Type 2	1
hsa-mir-24	Heart Diseases	1
hsa-mir-34a	Carcinoma, Renal Cell	1
hsa-mir-125b	Osteoarthritis	1
hsa-mir-181a	Osteoarthritis	1
hsa-mir-448	Multiple Sclerosis	1
hsa-let-7f	Glioma	1
hsa-mir-26a	Nervous System Diseases	1
hsa-mir-30a	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-16	Myocardial Infarction	1
hsa-let-7a-3	Inflammation	1
hsa-mir-26a	Reperfusion Injury	1
hsa-mir-145	Glioblastoma	1
hsa-mir-19b	Hypertension	1
hsa-mir-211	Triple Negative Breast Neoplasms	1
hsa-mir-199b	Carcinoma, Hepatocellular	1
hsa-mir-195	Breast Neoplasms	1
hsa-mir-155	Hypersensitivity	1
hsa-mir-150	Neuralgia	1
hsa-mir-451	Arthritis, Rheumatoid	1
hsa-mir-26b	Carcinoma, Hepatocellular	1
hsa-mir-182	Ischemia	1
hsa-mir-29a	Endomyocardial Fibrosis	1
hsa-mir-154	Prostatic Neoplasms	1
hsa-mir-489	Colorectal Neoplasms	1
hsa-mir-125a	Retinoblastoma	1
hsa-mir-107	Carcinoma, Pancreatic Ductal	1
hsa-mir-200c	Endometriosis	1
hsa-mir-27a	Carcinoma, Hepatocellular	1
hsa-mir-195	Prostatic Neoplasms	1
hsa-mir-223	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-1202	Carcinoma, Hepatocellular	1
hsa-mir-29a	Retinoblastoma	1
hsa-mir-375	Colorectal Neoplasms	1
hsa-mir-181a	Thyroid Neoplasms	1
hsa-mir-134	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-501	Polycystic Kidney Diseases	1
hsa-mir-744	Uterine Cervical Neoplasms	1
hsa-mir-494	Diabetes Mellitus	1
hsa-mir-106b	Atherosclerosis	1
hsa-mir-24	Endometrial Neoplasms	1
hsa-mir-153	Glioma	1
hsa-mir-27a	Carcinoma, Renal Cell	1
hsa-mir-206	Triple Negative Breast Neoplasms	1
hsa-mir-34c	Laryngeal Neoplasms	1
hsa-mir-29c	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-30a	Gallbladder Neoplasms	1
hsa-mir-491	Stomach Neoplasms	1
hsa-mir-30a	Liver Cirrhosis	1
hsa-mir-34a	Colorectal Neoplasms	1
hsa-mir-205	Breast Neoplasms	1
hsa-mir-155	Esophageal Neoplasms	1
hsa-mir-610	Glioma	1
hsa-mir-577	Osteoarthritis	1
hsa-mir-338	Carcinoma, Adenoid Cystic	1
hsa-mir-382	Diabetic Nephropathies	1
hsa-mir-411	Spinal Cord Injuries	1
hsa-mir-98	Hypertrophy	1
hsa-mir-483	Stomach Neoplasms	1
hsa-mir-608	Carcinoma, Hepatocellular	1
hsa-mir-150	Reperfusion Injury	1
hsa-mir-148b	Wound Healing	1
hsa-let-7a	Retinal Degeneration	1
hsa-let-7c	Neoplasms	1
hsa-mir-20a	Multiple Myeloma	1
hsa-mir-148a	Prostatic Neoplasms	1
hsa-mir-140	Breast Neoplasms	1
hsa-mir-384	Osteoarthritis	1
hsa-mir-26a	Stomach Neoplasms	1
hsa-mir-148b	Kidney Neoplasms	1
hsa-mir-520b	Lung Neoplasms	1
hsa-mir-153	Intervertebral Disc Degeneration	1
hsa-mir-153	Stomach Neoplasms	1
hsa-let-7i	Immune System Diseases	1
hsa-mir-378	Neoplasms	1
hsa-mir-20a	Leukemia	1
hsa-mir-124-2	Medulloblastoma	1
hsa-mir-20a	Breast Neoplasms	1
hsa-mir-324	Medulloblastoma	1
hsa-mir-139	Glioma	1
hsa-mir-497	Glioma	1
hsa-mir-143	Colorectal Neoplasms	1
hsa-mir-221	Stomach Neoplasms	1
hsa-mir-1-1	Cardiomegaly	1
hsa-mir-7	Pulmonary Fibrosis	1
hsa-mir-143	Hepatoblastoma	1
hsa-mir-301b	Breast Neoplasms	1
hsa-mir-497	Brain Ischemia	1
hsa-mir-150	Stomach Neoplasms	1
hsa-mir-148b	Reperfusion Injury	1
hsa-mir-18a	Leukemia, Myeloid, Acute	1
hsa-mir-424	Glioma	1
hsa-mir-128	Diabetes Mellitus, Type 2	1
hsa-mir-146a	Heart Failure	1
hsa-mir-139	Leukemia, Myeloid, Acute	1
hsa-mir-148a	Melanoma	1
hsa-mir-874	Myocardial Ischemia	1
hsa-mir-101-2	Stomach Neoplasms	1
hsa-mir-22	Uterine Cervical Neoplasms	1
hsa-mir-494	Reperfusion Injury	1
hsa-mir-20a	Thyroid Carcinoma, Anaplastic	1
hsa-mir-18	Neoplasms	1
hsa-mir-34	Breast Neoplasms	1
hsa-mir-504	Neoplasms	1
hsa-mir-31	Muscular Dystrophy, Duchenne	1
hsa-mir-145	Reperfusion Injury	1
hsa-mir-126	Gastrointestinal Neoplasms	1
hsa-mir-196a	Laryngeal Neoplasms	1
hsa-let-7a-2	Gastrointestinal Neoplasms	1
hsa-mir-129	Neoplasms	1
hsa-mir-378	Colorectal Neoplasms	1
hsa-mir-29b	Cardiovascular Diseases	1
hsa-mir-520e	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-200a	Ovarian Neoplasms	1
hsa-mir-361	Coronary Artery Disease	1
hsa-mir-373	Hepatitis B	1
hsa-mir-182	Carcinoma, Renal Cell	1
hsa-mir-222	Uterine Cervical Neoplasms	1
hsa-mir-193	Pulmonary Disease, Chronic Obstructive	1
hsa-mir-335	Breast Neoplasms	1
hsa-mir-29b-1	Carcinoma, Hepatocellular	1
hsa-mir-106b	Atrial Fibrillation	1
hsa-mir-451a	Carcinoma, Renal Cell	1
hsa-mir-1-2	Thyroid Neoplasms	1
hsa-mir-133a-1	Hypertension	1
hsa-mir-21	Liver Diseases	1
hsa-mir-122	Liver Cirrhosis	1
hsa-mir-10b	Atherosclerosis	1
hsa-mir-194-2	Endometrial Neoplasms	1
hsa-mir-146b	Thyroid Neoplasms	1
hsa-mir-375	Urinary Bladder Neoplasms	1
hsa-mir-191	Thyroid Neoplasms	1
hsa-mir-30c	Hypertension, Pulmonary	1
hsa-mir-181a-2	Ischemia	1
hsa-mir-199a-1	Endometriosis	1
hsa-mir-21	Urinary Bladder Neoplasms	1
hsa-mir-9	Diabetes Mellitus	1
hsa-mir-29b	Lung Neoplasms	1
hsa-mir-146a	Stomach Neoplasms	1
hsa-mir-98	Hypertension, Pulmonary	1
hsa-mir-1228	Breast Neoplasms	1
hsa-mir-34b	Breast Neoplasms	1
hsa-mir-30a	Ovarian Neoplasms	1
hsa-mir-22	Carcinoma, Renal Cell	1
hsa-mir-32	Prostatic Neoplasms	1
hsa-mir-127	Inflammation	1
hsa-mir-200b	Stomach Neoplasms	1
hsa-mir-126	Thrombosis	1
hsa-mir-130a	Leukemia, Lymphocytic, Chronic, B-Cell	1
hsa-mir-508	Stomach Neoplasms	1
hsa-mir-483	Thrombosis	1
hsa-mir-133a	Head and Neck Neoplasms	1
hsa-mir-26a	Glaucoma	1
hsa-mir-20a	Urinary Bladder Neoplasms	1
hsa-mir-204	Leukemia, Myeloid, Acute	1
hsa-mir-125b-1	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	1
hsa-mir-221	Non-alcoholic Fatty Liver Disease	1
hsa-mir-107	Colorectal Neoplasms	1
hsa-mir-181b	Inflammation	1
hsa-mir-200c	Pancreatic Neoplasms	1
hsa-mir-132	Myocardial Infarction	1
hsa-mir-302a	Head and Neck Neoplasms	1
hsa-mir-125b-2	Melanoma	1
hsa-mir-373	Pancreatic Neoplasms	1
hsa-let-7c	Atherosclerosis	1
hsa-mir-182	Peripheral Nerve Injuries	1
hsa-mir-217	Lung Neoplasms	1
hsa-mir-511	Lung Neoplasms	1
hsa-mir-101-1	Breast Neoplasms	1
hsa-mir-107	Glioma	1
hsa-mir-34b	Pancreatic Neoplasms	1
hsa-mir-138-1	Lung Neoplasms	1
hsa-mir-206	Stomach Neoplasms	1
hsa-mir-137	Neuroblastoma	1
hsa-mir-34a	Inferior Wall Myocardial Infarction	1
hsa-mir-29c	Stomach Neoplasms	1
hsa-mir-218-2	Uterine Cervical Neoplasms	1
hsa-mir-23a	Stomach Neoplasms	1
hsa-mir-193a	Ovarian Neoplasms	1
hsa-mir-146a	Carcinoma, Hepatocellular	1
hsa-mir-211	Head and Neck Neoplasms	1
hsa-mir-381	Carcinoma, Renal Cell	1
hsa-mir-155	Multiple Sclerosis	1
hsa-mir-19b	Stomach Neoplasms	1
hsa-mir-329	Hemangiosarcoma	1
hsa-mir-16	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-221	Pancreatic Neoplasms	1
hsa-mir-99a	Precursor Cell Lymphoblastic Leukemia-Lymphoma	1
hsa-mir-320	Mouth Neoplasms	1
hsa-mir-30d	Neurilemmoma	1
hsa-mir-92b	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-490	Urinary Bladder Neoplasms	1
hsa-mir-124	Stomach Neoplasms	1
hsa-mir-183	Retinoblastoma	1
hsa-mir-495	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-202	Colorectal Neoplasms	1
hsa-mir-218	Gastrointestinal Stromal Tumors	1
hsa-mir-1	Diabetes Mellitus	1
hsa-mir-199a	Neoplasms	1
hsa-mir-362	Stomach Neoplasms	1
hsa-mir-22	Medulloblastoma	1
hsa-mir-494	Stomach Neoplasms	1
hsa-mir-132	Lung Neoplasms	1
hsa-mir-18a	Glioblastoma	1
hsa-mir-194	Stomach Neoplasms	1
hsa-mir-200c	Leiomyoma	1
hsa-mir-219	Medulloblastoma	1
hsa-mir-383	Granulosa Cell Tumor	1
hsa-mir-145	Aneurysm	1
hsa-mir-143	Glioma	1
hsa-mir-203	Pneumonia	1
hsa-mir-200c	Ovarian Neoplasms	1
hsa-mir-199a	Diabetes Mellitus, Type 2	1
hsa-mir-424	Carcinoma, Hepatocellular	1
hsa-mir-539	Heart Diseases	1
hsa-mir-34c	Colorectal Neoplasms	1
hsa-mir-17	Cholangiocarcinoma	1
hsa-mir-155	Prostatic Neoplasms	1
hsa-mir-26b	Hepatitis B	1
hsa-mir-940	Prostatic Neoplasms	1
hsa-mir-144	Non-alcoholic Fatty Liver Disease	1
hsa-mir-377	Osteosarcoma	1
hsa-mir-29b	Breast Neoplasms	1
hsa-mir-342	Carcinoma, Non-Small-Cell Lung	1
