mir	disease	causality
hsa-mir-15a	Leukemia	1
hsa-mir-15a	Leukemia, Lymphocytic, Chronic, B-Cell	1
hsa-mir-16-1	Leukemia	1
hsa-mir-125b-1	Breast Neoplasms	1
hsa-mir-125b-1	Lung Neoplasms	1
hsa-mir-125b-1	Ovarian Neoplasms	1
hsa-mir-17	Carcinoma, Hepatocellular	1
hsa-mir-18a	Carcinoma, Hepatocellular	1
hsa-mir-19b-1	Carcinoma, Hepatocellular	1
hsa-mir-20a	Carcinoma, Hepatocellular	1
hsa-mir-125b-1	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	1
hsa-mir-16-1	Lymphoma	1
hsa-mir-125b-1	Leukemia, B-Cell	1
hsa-mir-142	Leukemia, B-Cell	1
hsa-mir-15a	Leukemia, B-Cell	1
hsa-mir-15a	Pituitary Neoplasms	1
hsa-mir-16-1	Leukemia, B-Cell	1
hsa-mir-92a-1	Hematologic Neoplasms	1
hsa-mir-15b	Leukemia, Lymphocytic, Chronic, B-Cell	1
hsa-mir-181b-2	Urinary Bladder Neoplasms	1
hsa-mir-199b	Urinary Bladder Neoplasms	1
hsa-mir-15a	Lymphoma, Mantle-Cell	1
hsa-mir-15a	Multiple Myeloma	1
hsa-mir-16-1	Lymphoma, Mantle-Cell	1
hsa-mir-16-1	Multiple Myeloma	1
hsa-mir-29a	Alzheimer Disease	1
hsa-mir-1-2	Carcinoma, Hepatocellular	1
hsa-mir-34a	Neoplasms	1
hsa-mir-101-1	Neoplasms	1
hsa-mir-31	Neoplasms	1
hsa-mir-31	Ovarian Neoplasms	1
hsa-mir-143	Neoplasms	1
hsa-mir-301a	Lung Neoplasms	1
hsa-mir-29a	Leukemia, Myeloid, Acute	1
hsa-mir-107	Urinary Bladder Neoplasms	1
hsa-mir-1-1	Myotonic Dystrophy	1
hsa-mir-135a-1	Medulloblastoma	1
hsa-mir-135b	Medulloblastoma	1
hsa-mir-186	Medulloblastoma	1
hsa-mir-33b	Medulloblastoma	1
hsa-mir-512-2	Medulloblastoma	1
hsa-mir-548d-2	Medulloblastoma	1
hsa-mir-101-1	Lung Neoplasms	1
hsa-mir-101-2	Lung Neoplasms	1
hsa-mir-17	Musculoskeletal Abnormalities	1
hsa-mir-19a	Musculoskeletal Abnormalities	1
hsa-mir-19b-1	Musculoskeletal Abnormalities	1
hsa-mir-20a	Musculoskeletal Abnormalities	1
hsa-mir-92a-1	Musculoskeletal Abnormalities	1
hsa-mir-21	Hypertension	1
hsa-mir-101-1	Pancreatic Neoplasms	1
hsa-mir-101-2	Pancreatic Neoplasms	1
hsa-mir-101-1	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-144	Thyroid Neoplasms	1
hsa-mir-199b	Thyroid Neoplasms	1
hsa-mir-29a	Kidney Diseases	1
hsa-mir-29b-1	Kidney Diseases	1
hsa-mir-29c	Kidney Diseases	1
hsa-mir-122	Hepatitis B	1
hsa-mir-34a	Arthritis, Rheumatoid	1
hsa-mir-124-1	Glioma	1
hsa-mir-124-2	Glioma	1
hsa-mir-124-3	Glioma	1
hsa-mir-145	Ovarian Neoplasms	1
hsa-mir-133a-1	Breast Neoplasms	1
hsa-mir-29a	Muscular Dystrophy, Duchenne	1
hsa-mir-29c	Muscular Dystrophy, Duchenne	1
hsa-mir-101-1	Stomach Neoplasms	1
hsa-let-7g	Melanoma	1
hsa-mir-126	Pancreatic Neoplasms	1
hsa-mir-218-1	Breast Neoplasms	1
hsa-mir-218-2	Breast Neoplasms	1
hsa-mir-101-1	Colonic Neoplasms	1
hsa-mir-200c	Melanoma	1
hsa-mir-203	Melanoma	1
hsa-mir-370	Cholangiocarcinoma	1
hsa-mir-126	Heart Diseases	1
hsa-mir-130a	Heart Diseases	1
hsa-mir-132	Osteosarcoma	1
hsa-mir-10a	Neoplasms	1
hsa-mir-200a	Breast Neoplasms	1
hsa-mir-126	Prostatic Neoplasms	1
hsa-mir-223	Sepsis	1
hsa-mir-206	Amyotrophic Lateral Sclerosis	1
hsa-mir-145	Carcinoma, Hepatocellular	1
hsa-mir-424	Hepatoblastoma	1
hsa-mir-100	Prostatic Neoplasms	1
hsa-mir-17	Atrial Fibrillation	1
hsa-mir-19a	Atrial Fibrillation	1
hsa-mir-19b-1	Atrial Fibrillation	1
hsa-mir-20a	Atrial Fibrillation	1
hsa-mir-92-1	Atrial Fibrillation	1
hsa-mir-203	Prostatic Neoplasms	1
hsa-mir-155	Melanoma	1
hsa-mir-378	Prostatic Neoplasms	1
hsa-mir-100	Carcinoma, Hepatocellular	1
hsa-mir-101	Esophageal Neoplasms	1
hsa-mir-101	Lung Neoplasms	1
hsa-mir-34a	Prostatic Neoplasms	1
hsa-mir-7	Breast Neoplasms	1
hsa-mir-204	Prostatic Neoplasms	1
hsa-mir-26b	Neoplasms	1
hsa-mir-1	Prostatic Neoplasms	1
hsa-mir-150	Heart Diseases	1
hsa-mir-150	Myocardial Infarction	1
hsa-mir-155	Lymphoma, B-Cell	1
hsa-mir-21	Acute Kidney Injury	1
hsa-mir-155	Tuberculosis	1
hsa-mir-377	Lymphoma	1
hsa-mir-132	Inflammation	1
hsa-mir-205	Prostatic Neoplasms	1
hsa-mir-133a	Heart Diseases	1
hsa-mir-21	Carcinoma, Hepatocellular	1
hsa-mir-622	Colorectal Neoplasms	1
hsa-mir-214	Parkinson Disease	1
hsa-mir-195	Uterine Cervical Neoplasms	1
hsa-mir-377	Reperfusion Injury	1
hsa-mir-150	Sepsis	1
hsa-mir-150	Obesity	1
hsa-mir-126a	Sepsis	1
hsa-mir-124	Glioblastoma	1
hsa-mir-181	Autism Spectrum Disorder	1
hsa-mir-4282	Colorectal Neoplasms	1
hsa-mir-505	Carcinoma, Hepatocellular	1
hsa-mir-34a	Obesity	1
hsa-mir-122	Pterygium	1
hsa-mir-145	Prostatic Neoplasms	1
hsa-mir-27a	Arthritis, Rheumatoid	1
hsa-mir-424	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-320a	Carcinoma, Hepatocellular	1
hsa-mir-423	Glioma	1
hsa-mir-126	Carcinoma, Hepatocellular	1
hsa-mir-146a	Gout	1
hsa-mir-15a	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-21	Spinal Cord Injuries	1
hsa-mir-148b	Endometrial Neoplasms	1
hsa-mir-1-2	Heart Failure	1
hsa-let-7a-1	Colonic Neoplasms	1
hsa-let-7a-1	Lung Neoplasms	1
hsa-let-7a-2	Colonic Neoplasms	1
hsa-let-7a-2	Lung Neoplasms	1
hsa-let-7c	Colonic Neoplasms	1
hsa-let-7c	Lung Neoplasms	1
hsa-let-7e	Colonic Neoplasms	1
hsa-let-7e	Lung Neoplasms	1
hsa-let-7f-1	Colonic Neoplasms	1
hsa-let-7f-1	Lung Neoplasms	1
hsa-let-7f-2	Lung Neoplasms	1
hsa-let-7g	Colonic Neoplasms	1
hsa-let-7g	Lung Neoplasms	1
hsa-let-7i	Colonic Neoplasms	1
hsa-let-7i	Lung Neoplasms	1
hsa-mir-221	Carotid Artery Diseases	1
hsa-mir-222	Carotid Artery Diseases	1
hsa-mir-10b	Myocardial Infarction	1
hsa-mir-150	Carcinoma, Hepatocellular	1
hsa-mir-126	Asthma	1
hsa-let-7a-1	Neoplasms	1
hsa-let-7a-3	Neoplasms	1
hsa-mir-200a	Neoplasms	1
hsa-mir-200b	Neoplasms	1
hsa-mir-200c	Neoplasms	1
hsa-mir-221	Carcinoma, Hepatocellular	1
hsa-mir-124-2	Neuroblastoma	1
hsa-mir-124-3	Neuroblastoma	1
hsa-mir-181b-1	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	1
hsa-mir-21	Heart Diseases	1
hsa-let-7i	Carcinoma, Renal Cell	1
hsa-mir-138-1	Carcinoma, Renal Cell	1
hsa-mir-138-2	Carcinoma, Renal Cell	1
hsa-mir-21	Glioma	1
hsa-mir-18a	Immune System Diseases	1
hsa-mir-17	Medulloblastoma	1
hsa-mir-19a	Medulloblastoma	1
hsa-mir-21	Leukemia, Myeloid, Acute	1
hsa-mir-92a	Leukemia, Promyelocytic, Acute	1
hsa-mir-17	Multiple Sclerosis	1
hsa-mir-155	Encephalomyelitis	1
hsa-mir-18a	Prostatic Neoplasms	1
hsa-mir-21	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-182	Ovarian Neoplasms	1
hsa-mir-92a	Myocardial Reperfusion Injury	1
hsa-mir-145	Atherosclerosis	1
hsa-mir-21	Lung Neoplasms	1
hsa-mir-21	Obesity	1
hsa-mir-17	Leukemia, Lymphocytic, Chronic, B-Cell	1
hsa-mir-21	Aneurysm	1
hsa-mir-21	Precursor Cell Lymphoblastic Leukemia-Lymphoma	1
hsa-mir-19b	Carcinoma, Embryonal	1
hsa-let-7c	Heart Diseases	1
hsa-mir-155	Neoplasms	1
hsa-mir-17	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	1
hsa-mir-20a	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	1
hsa-mir-155	Spinal Cord Injuries	1
hsa-mir-21	Cholangiocarcinoma	1
hsa-mir-31	Myocardial Infarction	1
hsa-mir-208a	Myocardial Infarction	1
hsa-mir-195	Diabetic Cardiomyopathies	1
hsa-let-7	Neoplasms	1
hsa-mir-34a	Myocardial Infarction	1
hsa-mir-214	Liver Cirrhosis	1
hsa-mir-17	Graft vs Host Disease	1
hsa-mir-19b	Graft vs Host Disease	1
hsa-mir-372	Stomach Neoplasms	1
hsa-mir-21	Non-alcoholic Fatty Liver Disease	1
hsa-mir-20a	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-205	Neoplasms	1
hsa-mir-96	Urinary Bladder Neoplasms	1
hsa-mir-155	Inferior Wall Myocardial Infarction	1
hsa-mir-210	Nervous System Diseases	1
hsa-mir-184	Carcinoma, Pancreatic Ductal	1
hsa-mir-630	Ovarian Neoplasms	1
hsa-mir-193	Stomach Neoplasms	1
hsa-mir-126	Myocardial Infarction	1
hsa-mir-210	Myocardial Infarction	1
hsa-mir-130b	Carcinoma, Hepatocellular	1
hsa-mir-222	Neoplasms	1
hsa-mir-199a	Pancreatic Neoplasms	1
hsa-mir-34a	Cholangiocarcinoma	1
hsa-mir-125b	Melanoma	1
hsa-mir-223	Multiple Sclerosis	1
hsa-mir-25	Choriocarcinoma	1
hsa-mir-125b	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	1
hsa-mir-451	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	1
hsa-mir-224	Brain Ischemia	1
hsa-mir-544a	Colorectal Neoplasms	1
hsa-mir-21	Esophageal Neoplasms	1
hsa-mir-138	Intervertebral Disc Degeneration	1
hsa-mir-27b	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-21	Liver Cirrhosis	1
hsa-mir-454	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-93	Uterine Cervical Neoplasms	1
hsa-mir-206	Tuberculosis	1
hsa-mir-155	Graft vs Host Disease	1
hsa-mir-214	Breast Neoplasms	1
hsa-mir-214	Melanoma	1
hsa-mir-154	Glioblastoma	1
hsa-mir-155	Acute Lung Injury	1
hsa-mir-9	Triple Negative Breast Neoplasms	1
hsa-mir-942	Sarcoma, Kaposi	1
hsa-mir-21	Asthma	1
hsa-mir-155	Uterine Cervical Neoplasms	1
hsa-mir-210	Epilepsy	1
hsa-mir-17	Lymphoma	1
hsa-mir-106b	Breast Neoplasms	1
hsa-mir-127	Obesity	1
hsa-mir-21	Melanoma	1
hsa-mir-181a	Uterine Cervical Neoplasms	1
hsa-mir-322	Breast Neoplasms	1
hsa-mir-424	Breast Neoplasms	1
hsa-mir-503	Breast Neoplasms	1
hsa-mir-155	Infection	1
hsa-mir-29a	Breast Neoplasms	1
hsa-mir-146a	Listeriosis	1
hsa-mir-21	Colitis	1
hsa-mir-21	Hepatitis, Alcoholic	1
hsa-mir-1246	Uterine Cervical Neoplasms	1
hsa-mir-19b-1	Hematologic Neoplasms	1
hsa-mir-20a	Hematologic Neoplasms	1
hsa-mir-17	Colonic Neoplasms	1
hsa-mir-19a	Colonic Neoplasms	1
hsa-mir-19b-1	Colonic Neoplasms	1
hsa-mir-20a	Colonic Neoplasms	1
hsa-mir-20a	Lung Neoplasms	1
hsa-mir-92a-1	Colonic Neoplasms	1
hsa-mir-92a-1	Lung Neoplasms	1
hsa-let-7g	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-184	Carcinoma, Squamous Cell	1
hsa-mir-221	Prostatic Neoplasms	1
hsa-mir-222	Prostatic Neoplasms	1
hsa-mir-31	Leiomyosarcoma	1
hsa-mir-125a	Ovarian Neoplasms	1
hsa-mir-26a	Glioblastoma	1
hsa-mir-17	Neoplasms	1
hsa-mir-18a	Neoplasms	1
hsa-mir-19a	Neoplasms	1
hsa-mir-19b-1	Neoplasms	1
hsa-mir-19b-2	Neoplasms	1
hsa-mir-92a-1	Neoplasms	1
hsa-mir-92a-2	Neoplasms	1
hsa-mir-125b	Leukemia	1
hsa-mir-18a	Urinary Bladder Neoplasms	1
hsa-mir-196b	Hepatitis C	1
hsa-mir-125b-2	Glioblastoma	1
hsa-mir-18a	Burkitt Lymphoma	1
hsa-mir-19b-1	Burkitt Lymphoma	1
hsa-mir-20a	Burkitt Lymphoma	1
hsa-mir-10b	Pancreatic Neoplasms	1
hsa-mir-155	Carcinoma, Hepatocellular	1
hsa-mir-122	Carcinoma, Hepatocellular	1
hsa-mir-223	Leukemia, Lymphocytic, Chronic, B-Cell	1
hsa-mir-28	Colorectal Neoplasms	1
hsa-mir-17	Leukemia	1
hsa-mir-19a	Leukemia, Erythroblastic, Acute	1
hsa-mir-92a	Leukemia, Erythroblastic, Acute	1
hsa-mir-130a	Ovarian Neoplasms	1
hsa-mir-125b	Leukemia, Myeloid, Acute	1
hsa-mir-615	Carcinoma, Hepatocellular	1
hsa-mir-221	Thyroid Neoplasms	1
hsa-mir-132	Heart Diseases	1
hsa-mir-221	Inflammation	1
hsa-mir-17	Stomach Neoplasms	1
hsa-mir-20a	Stomach Neoplasms	1
hsa-mir-100	Carcinoma, Renal Cell	1
hsa-mir-106b	Carcinoma, Hepatocellular	1
hsa-mir-1	Myocardial Infarction	1
hsa-mir-146a	Sepsis	1
hsa-mir-9	Leukemia	1
hsa-mir-146b	Inflammation	1
hsa-mir-32	Colorectal Neoplasms	1
hsa-mir-18a	Leukemia, B-Cell	1
hsa-mir-92a	Leukemia, B-Cell	1
hsa-let-7a	Lupus Erythematosus, Systemic	1
hsa-mir-296	Prostatic Neoplasms	1
hsa-mir-210	Gastrointestinal Stromal Tumors	1
hsa-mir-125a	Myelodysplastic Syndromes	1
hsa-mir-30c	Heart Diseases	1
hsa-mir-30a	Nasopharyngeal Neoplasms	1
hsa-mir-222	Carcinoma, Hepatocellular	1
hsa-mir-23b	Breast Neoplasms	1
hsa-mir-24	Breast Neoplasms	1
hsa-mir-9	Osteosarcoma	1
hsa-mir-214	Cardiomegaly	1
hsa-mir-146a	Breast Neoplasms	1
hsa-mir-196a	Mouth Neoplasms	1
hsa-mir-223	Colorectal Neoplasms	1
hsa-mir-410	Colorectal Neoplasms	1
hsa-mir-374a	Neoplasms	1
hsa-mir-545	Neoplasms	1
hsa-mir-200c	Breast Neoplasms	1
hsa-mir-1269	Carcinoma, Hepatocellular	1
hsa-mir-34a	Hearing Loss, Central	1
hsa-mir-29c	Brain Diseases	1
hsa-mir-221	Neoplasms	1
hsa-mir-153	Carcinoma, Hepatocellular	1
hsa-mir-21	Uterine Cervical Neoplasms	1
hsa-mir-144	Diabetic Cardiomyopathies	1
hsa-mir-23a	Laryngeal Neoplasms	1
hsa-mir-132	Diabetes Mellitus, Type 2	1
hsa-mir-331	Prostatic Neoplasms	1
hsa-mir-1207	Ovarian Neoplasms	1
hsa-mir-92a	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-664	Osteosarcoma	1
hsa-mir-183	Colorectal Neoplasms	1
hsa-mir-203	Pancreatic Neoplasms	1
hsa-mir-421	Osteosarcoma	1
hsa-mir-222	Urinary Bladder Neoplasms	1
hsa-mir-96	Glioma	1
hsa-mir-183	Glioma	1
hsa-mir-138	Glioblastoma	1
hsa-mir-195	Spinal Cord Injuries	1
hsa-mir-449a	Breast Neoplasms	1
hsa-mir-522	Carcinoma, Hepatocellular	1
hsa-mir-210	Kidney Neoplasms	1
hsa-mir-146a	Hepatitis B, Chronic	1
hsa-mir-125a	Arthritis, Juvenile	1
hsa-mir-195	Myocardial Reperfusion Injury	1
hsa-mir-221	Breast Neoplasms	1
hsa-mir-222	Breast Neoplasms	1
hsa-mir-92b	Carcinoma, Hepatocellular	1
hsa-mir-146a	Multiple Myeloma	1
hsa-mir-449a	Hepatitis B	1
hsa-mir-106a	Stomach Neoplasms	1
hsa-mir-96	Prostatic Neoplasms	1
hsa-mir-937	Lung Neoplasms	1
hsa-mir-200c	Cytotoxicity Tests, Immunologic	1
hsa-mir-182	Chemical and Drug Induced Liver Injury	1
hsa-mir-125b	Stomach Neoplasms	1
hsa-mir-221	Carcinoma, Pancreatic Ductal	1
hsa-mir-146a	Alzheimer Disease	1
